l_mm,f1_Hz,k1_eff_v,k1_eff_l,angle1,X1(1),X1(2),X1(3),X1(4),X1(5),dw_le_1,dw1_1,dw2_1,f2_Hz,k2_eff_v,k2_eff_l,angle2,X2(1),X2(2),X2(3),X2(4),X2(5),dw_le_2,dw1_2,dw2_2,f3_Hz,k3_eff_v,k3_eff_l,angle3,X3(1),X3(2),X3(3),X3(4),X3(5),dw_le_3,dw1_3,dw2_3,f4_Hz,k4_eff_v,k4_eff_l,angle4,X4(1),X4(2),X4(3),X4(4),X4(5),dw_le_4,dw1_4,dw2_4,f5_Hz,k5_eff_v,k5_eff_l,angle5,X5(1),X5(2),X5(3),X5(4),X5(5),dw_le_5,dw1_5,dw2_5
0.6,20095.629098114,1779.12214866989,20053.5104256388,73.4134735177481,-1.2701721041157,0.500468643051892,0.0491644633148736,0.423316508791322,0.0634129151927851,477.100193838487,462.570457097147,1552.99555686802,152075.636025581,666307.100115059,65403.7392043735,17.3959120235627,-0.981785421158348,-0.83846670813463,-0.00048682783980851,-0.176050314054017,-0.339622473910738,-1856.82207744253,-1286.7372975539,-403.138205396923,387201.356165645,503501867525.715,121134.30539789,0.0281031907645083,-1.00366968003413,1.47622006311269,-0.594012138586646,-0.515345182948526,1.10801392157985,10373.6792994931,-1384498.30520842,-679.087071252805,678286.887197482,125216.066757725,4032096.87016542,80.0057339214654,-22.0593984826685,2472.68366752074,-994.976392811798,-863.208439482543,1855.93462366253,53.5227107976743,45.6048089977655,258.789165985784,1149014.56739208,251758.205736387,374375718.128876,88.5145320328713,-740.533993918148,118858.997558076,-47827.3457284315,-41493.4150891363,89212.5959334839,20.4243440947974,16.660967683151,642.483887978407
0.61,19952.7528121972,1778.91695395633,19226.4019747129,73.0813550260059,-1.26821759618161,0.500593436392723,0.0481995481473753,0.419953470186331,0.0635836896468568,476.983168584364,462.448172605597,1520.31730743563,150891.47288637,698274.3019235,61515.8628537892,16.531487245424,-0.981168499200847,-0.859053777029136,0.0151807222319349,-0.159120966957365,-0.355184717014052,-1952.29635990576,-1336.99941035081,-396.836623791775,378943.347459713,1364720891.49092,112729.008544095,0.520722805852049,-1.00405471312823,1.50325325694178,-0.663823963350822,-0.567223011232934,1.15916735849308,8832.27478868766,68809.8516325276,-625.383682095318,665967.908793849,122330.282934564,3391891.242915,79.2470535466896,-22.0203156636086,2423.15492243599,-1070.04478253847,-914.329788038704,1868.50890073836,55.0619457747696,46.9791367374026,247.376819413149,1135817.61198486,247959.090984093,319530038.855083,88.4043247730351,-759.487595814991,119678.692776435,-52849.1016404796,-45158.3977507395,92284.938371458,20.937474070116,17.0977105396285,613.767359423677
0.62,19812.4661932013,1778.71883291783,18448.0547487732,72.7498051966554,-1.26628714238316,0.500761234007419,0.0472176365213106,0.416596481739685,0.0637860335816256,476.867056930597,462.326823174776,1488.91782319021,149669.651216408,732937.4246898,57842.7992645689,15.6914081415994,-0.980497121129405,-0.880296651336972,0.0317721328366993,-0.141697920417893,-0.371667161888336,-2055.45173359431,-1389.96184776255,-390.47576271605,370615.710019713,318329506.827462,105438.317167905,1.04264262206252,-1.00446566998069,1.52367881618749,-0.732369238465306,-0.617078080426559,1.20683767875832,7593.44436745637,31639.5729073685,-575.826167960539,654539.138797758,119704.336834624,2870368.84746377,78.4580837779832,-22.1872545538572,2400.66880542461,-1153.90196815593,-972.252211196353,1901.46213088101,56.5436428587208,48.3038035342213,236.534906605179,1123285.80084186,244362.729957224,273375172.363634,88.2874974362711,-783.779388060608,121263.116195187,-58286.1526446997,-49110.6197535142,96047.0777129918,21.4386622372623,17.524781780988,586.157963431652
0.63,19674.6807420386,1778.52756923986,17714.6930344569,72.4188235519476,-1.2643809673879,0.500971499898516,0.0462184385436576,0.413245883774503,0.0640199034405737,476.751771404661,462.206317679706,1458.7215270828,148408.827311729,770698.841615847,54374.4086875947,14.8752228513204,-0.979767911082567,-0.902192203258284,0.0493138935905454,-0.123765549191669,-0.38908676069334,-2167.38820602399,-1445.91360365339,-384.058396354381,362274.839614865,137167875.691605,99134.8880909473,1.53994458742074,-1.0048992317259,1.53690302557901,-0.798624865053828,-0.664240833766025,1.25016316929959,6579.95806893877,19722.3294553654,-530.206763220293,643964.728207959,117328.811486841,2440993.76054923,77.6341444790618,-22.5481031892829,2403.83027828004,-1249.10849913934,-1038.92191094828,1955.34788411306,57.9632988564963,49.5745218192351,226.120289485911,1111322.34605455,240940.061930099,234000054.97479,88.1621072284223,-812.905357329452,123565.560721912,-64208.6895623494,-53404.3395794395,100511.945410602,21.93018989334,17.9440847107701,559.209810315353
0.64,19539.3120028748,1778.3429742751,17022.899037014,72.0884088715345,-1.26249926900656,0.501223709196077,0.0452016761726228,0.409901974116124,0.0642852526046264,476.637229250663,462.086569919886,1429.65861720146,147107.777712459,812035.787450623,51101.5159851352,14.0825442365059,-0.978977309143071,-0.924733287288784,0.0678301565187184,-0.105309521857688,-0.407457339372009,-2289.42346313283,-1505.18469796041,-377.588798275174,353975.392875007,75698708.7547004,93702.0549937043,2.01499445979471,-1.00535111143253,1.54253519594985,-0.861631945814,-0.708108262985606,1.28841208467722,5738.5636004099,13878.1964848068,-488.273724148781,634195.493251075,115192.605635143,2083312.27930333,76.7675946142937,-23.0912689358998,2431.72307770049,-1358.31603234809,-1116.29427265819,2031.11177503378,59.3187508856689,50.7891103662522,215.990918597763,1099837.68464413,237664.489810229,199988618.217372,88.0256225024182,-846.328728295178,126556.990019844,-70692.4197603242,-58096.6000691185,105707.510447782,22.414437387642,18.357617827156,532.521094075691
0.65,19406.2793295868,1778.16488549511,16369.5730111994,71.7585592228537,-1.26064222054272,0.501517348857645,0.0441670823415397,0.406565011178727,0.0645820321166288,476.523352121149,461.967498297315,1401.66452762698,145765.427306089,857516.691793286,48015.7234108104,13.3130424838336,-0.978121584895763,-0.947907979336955,0.0873420069131796,-0.0863173192317363,-0.426788849014586,-2423.14914304111,-1568.15358997659,-371.072733594978,345768.419812136,47843059.1688178,89035.1996972507,2.47015861991607,-1.00581618809309,1.54040330375265,-0.92054123747676,-0.748171873404737,1.32101501243395,5031.27554556098,10425.4856640143,-449.746397471137,625173.919718567,113284.824539095,1781642.5072432,75.8473560072981,-23.805584640783,2484.01606208951,-1484.44190825703,-1206.48335810073,2130.23595908504,60.6097932195692,51.9471616397295,206.009020720799,1088749.64971861,234511.905826111,170297692.05971,87.8747918788522,-883.4613552765,130227.626043141,-77823.7100241016,-63251.3879374242,111680.264913434,22.8938309200417,18.7674288678615,505.73930985045
0.66,19275.5056682628,1777.99316509791,15751.8984715787,71.4292719909084,-1.25880997295881,0.50185191826432,0.0431144001305223,0.403235216801388,0.0649101913471464,476.410065791819,461.849025518449,1374.67944850287,144380.880369151,907821.758535524,45109.2443592539,12.5664366612103,-0.977196857472545,-0.971698785949808,0.107866646087353,-0.0667788075207369,-0.447086547824636,-2570.50545768783,-1635.25623242638,-364.517426326745,337699.968876257,32962739.6601801,85042.2077747365,2.90773735860553,-1.00628869682741,1.53055306022752,-0.974647740006242,-0.784037043522989,1.34758346752126,4430.23210237493,8157.17719187927,-414.329169256974,616838.303196481,111596.640206317,1524021.30801003,74.8583133070686,-24.6801031866576,2561.08172693972,-1630.88270638721,-1311.932919929,2254.91783583231,61.8377712962803,53.0496838032567,196.043640816349,1077983.21615239,231460.613139749,144166213.812549,87.7054518508163,-923.650050701632,134590.068563195,-85706.2127156198,-68944.7508785855,118500.531606106,23.3708107493145,19.175587056192,478.566027331641
0.67,19146.9173546564,1777.8276987574,15167.3117569268,71.1005439076084,-1.25700265686346,0.502226929716657,0.0420433819821812,0.399912778848148,0.0652696786063272,476.29729989831,461.731078319246,1348.6478978897,142953.453914675,963769.120035936,42374.7572239732,11.8424853802977,-0.976199122920253,-0.996081847144843,0.129416497306325,-0.0466868580270534,-0.468350129753106,-2733.88156006976,-1706.99721294215,-357.931499657795,329810.195225068,24116886.2599209,81643.2016668626,3.32991135012399,-1.00676245830357,1.51323244867149,-1.02341238538343,-0.815432972943298,1.36791460772164,3914.52045856581,6560.68669178361,-381.72332180455,609125.956194512,110123.264734194,1301375.4941006,73.7804809462967,-25.7038404168812,2664.15448523155,-1801.79105936731,-1435.6283558285,2408.31198192641,63.0051935600672,54.0987549680515,185.972634556014,1067470.02425886,228491.210305921,121046264.854225,87.512239058051,-966.168440443301,139684.553057746,-94469.8891248006,-75271.5754107258,126270.448911211,23.847814445628,19.5841682306405,450.760735154072
0.68,19020.4439251086,1777.66839449785,14613.4753372098,70.7723710805191,-1.25522038435229,0.502641908855185,0.0409537889596982,0.396597853604991,0.0656604417079398,476.18498769134,461.613587209383,1323.51833898799,141482.712443605,1026348.38954493,39805.2788945341,11.1409767434036,-0.97512428958896,-1.02102616313693,0.151998253384931,-0.0260380004514465,-0.490572823114731,-2916.25267531595,-1783.96357517037,-351.324887376086,322132.934723987,18447143.1137162,78769.768551945,3.73870199651121,-1.00723112795085,1.48886518463292,-1.06647071776261,-0.842213700524214,1.38198367116872,3468.14029573457,5381.19269101647,-351.636355183593,601975.530979312,108866.323799939,1106878.024206,72.587790127665,-26.8655116776971,2795.56454213995,-2002.45647126389,-1581.38076058945,2594.87869607763,64.1153866709182,55.097213749623,175.684214358496,1057147.82066711,225586.492114936,100549383.863204,87.2881541401023,-1010.21480678961,145587.335332766,-104283.874464941,-82355.104884999,135136.023217879,24.3272699427613,19.9952484418139,422.143363361968
0.69,18896.0179401892,1777.5151816837,14088.254347174,70.4447490212448,-1.25346325069799,0.503096395001365,0.0398453900435404,0.393290567979409,0.0660824284888193,476.073065810463,461.496486235963,1299.24283724371,139968.502916587,1096764.1446268,37394.0576717669,10.4617177859883,-0.973968222009806,-1.04649288183569,0.175611892479113,-0.0048330915841825,-0.513740490199491,-3121.37075689304,-1866.84211278953,-344.708715404335,314695.663984922,14604050.4306958,76363.8834883873,4.13594461979042,-1.00768844569367,1.45801711744191,-1.10362995663288,-0.864351587446368,1.38992680251893,3078.65233476886,4477.69409858322,-323.788754985322,595328.576424676,107837.144689546,935451.171385409,71.2462905679135,-28.1532947081904,2959.10066666109,-2239.85857323079,-1754.23410880773,2820.90880740826,65.172206585384,56.0483983584462,165.078144314177,1046959.90802695,222731.4176279,82403767.4367332,87.0238898031718,-1054.91625468805,152423.889007298,-115375.57961602,-90360.9627432624,145305.597678523,24.8115942223987,20.4109024823526,392.595214070635
